Corresponding CSV Data File,Variable Name,Units,Description
All data files,SurveyNum,,Unique number assigned to each (eel-specific SPC-BRUV-paired) survey of this study
All data files,Region,,Broad region (either Northwestern Hawaiian Islands or Main Hawaiian Islands) where a survey took place
All data files,Island,,Island name (or atoll name) where a survey took place
All data files,Moku,,Moku name (traditional land division within a Hawaiian Island) where a survey took place
Supplement 3_Zill et al 2023_Data by eel record.csv,EelID,,Unique number assigned to each eel individual
Supplement 3_Zill et al 2023_Data by eel record.csv,Species,,Full taxonomic name of eel
Supplement 3_Zill et al 2023_Data by eel record.csv,Observed_before_40_mins,"0 = No, 1 = Yes",Eel was observed on video within the first 40 minutes of BRUV deployment
Supplement 3_Zill et al 2023_Data by eel record.csv,Head_height_cm,Centimeters,Estimated head height taken at the eel's rictus
Supplement 3_Zill et al 2023_Data by eel record.csv,Total_body_length_cm,Centimeters,Estimated total body length of an eel
Supplement 3_Zill et al 2023_Data by eel record.csv,Biomass_g,Grams,"Body weight of eel, generated from length-to-weight conversions"
Supplement 2_Zill et al 2023_Data by survey.csv,Date,M/D/YYYY,Date on which a survey was conducted
Supplement 2_Zill et al 2023_Data by survey.csv,Latitude,Decimal degrees,Latitude of survey site location
Supplement 2_Zill et al 2023_Data by survey.csv,Longitude,Decimal degrees,Longitude of survey site location
Supplement 2_Zill et al 2023_Data by survey.csv,Depth_m,Meters,Average seafloor depth where survey took place
Supplement 2_Zill et al 2023_Data by survey.csv,Eel_biomass_g_m2,Grams / square meter,"Total biomass of all eels observed in this survey (within 40 minutes of baited camera deployment), divided by survey transect area"
Supplement 2_Zill et al 2023_Data by survey.csv,Eel_abundance_individuals_m2,Individuals / square meter,"Count of eel individuals observed in this survey (within 40 minutes of baited camera deployment), divided by survey transect area"
Supplement 2_Zill et al 2023_Data by survey.csv,Eel_count_individuals_survey,Individuals / survey,Total number of eel individuals observed in this survey (within 40 minutes of baited camera deployment)
Supplement 2_Zill et al 2023_Data by survey.csv,Total_fish_biomass_g_m2,Grams / square meter,Average biomass density of all fishes of the moku in which the eel survey took place (data taken from NOAA SPC database; see Heenan et al. 2017)
Supplement 2_Zill et al 2023_Data by survey.csv,Primary_biomass_g_m2,Grams / square meter,Average biomass density of herbivorous fishes of the moku in which the eel survey took place (data taken from NOAA SPC database; see Heenan et al. 2017)
Supplement 2_Zill et al 2023_Data by survey.csv,Secondary_biomass_g_m2,Grams / square meter,Average biomass density of secondary consumer fishes of the moku in which the eel survey took place (data taken from NOAA SPC database; see Heenan et al. 2017)
Supplement 2_Zill et al 2023_Data by survey.csv,Planktivore_biomass_g_m2,Grams / square meter,Average biomass density of planktivorous fishes of the moku in which the eel survey took place (data taken from NOAA SPC database; see Heenan et al. 2017)
Supplement 2_Zill et al 2023_Data by survey.csv,Non_eel_piscivore_biomass_g_m2,Grams / square meter,Average biomass density of non-muraenid piscivorous fishes of the moku in which the eel survey took place (data taken from NOAA SPC database; see Heenan et al. 2017)
Supplement 2_Zill et al 2023_Data by survey.csv,Eels_seen_by_NOAA_SPC_biomass_g_m2,Grams / square meter,Average biomass density of eels (that were observed in NOAA SPC visual surveys) of the moku in which the eel survey took place (data taken from NOAA SPC database; see Heenan et al. 2017)
Supplement 2_Zill et al 2023_Data by survey.csv,Apex_predator_biomass_g_m2,Grams / square meter,"Average biomass density of piscivores (excluding eels), of 40 cm body length or greater, of the moku in which the eel survey took place (data taken from NOAA SPC database; see Heenan et al. 2017)"
Supplement 2_Zill et al 2023_Data by survey.csv,Jack_shark_biomass_g_m2,Grams / square meter,Average biomass density of carangids (excluding the scads Decapterus macarellus and Selar crumenophthalmus) of the moku in which the eel survey took place (data taken from NOAA SPC database; see Heenan et al. 2017)
