SurveyNum,Date,Region,Island,Moku,Latitude,Longitude,Depth_m,Eel_biomass_g_m2,Eel_abundance_individuals_m2,Eel_count_individuals_survey,Total_fish_biomass_g_m2,Primary_biomass_g_m2,Secondary_biomass_g_m2,Planktivore_biomass_g_m2,Non_eel_piscivore_biomass_g_m2,Eels_seen_by_NOAA_SPC_biomass_g_m2,Apex_predator_biomass_g_m2,Jack_shark_biomass_g_m2,Non_native_grouper_biomass_g_m2,Non_eel_mesopredator_biomass_g_m2,Live_hard_coral_percent,Macroalgae_percent,Turf_CCA_percent,Sand_percent,Chain_rugosity_ratio,Max_substrate_height_m,Mean_substrate_height_m,Mean_substrate_height_bin_variability_m,Insitu_observer_complexity_rating,ADCP_flow_rate_m_s,Fluorescein_plume_diameter_1min_m,Fluorescein_plume_diameter_3min_m,Clod_card_dissolution_time_s
1,11/12/2015,MHI,Oahu,Waianae,21.4761,-158.22514,5,2.161222,0.005649718,1,10.1373451,3.519959689,4.713029368,1.211092833,0.538817702,0.15643,0.24316,0.108381,0.075041,0.525095,15,10,70,5,1.363636364,3,1.3075,0.713665713,6,,NA,NA,NA
2,11/19/2015,MHI,Oahu,Kona Oahu,21.27472,-157.84018,6,9.287768,0.011299435,2,15.18816211,5.581116461,4.768337697,3.411294121,1.019742313,0.409926,0.157376,0.45652,0.261873,0.715752,7,41,42,10,1.595744681,2.5,1.0125,0.630847644,6,,NA,NA,NA
3,12/1/2015,MHI,Oahu,Kona Oahu,21.28284,-157.85114,6.2,7.817573,0.02259887,4,15.18816211,5.581116461,4.768337697,3.411294121,1.019742313,0.409926,0.157376,0.45652,0.261873,0.715752,5,10,72,13,1.363636364,2.9,1.1275,0.79096065,6,,NA,NA,NA
4,12/7/2015,MHI,Oahu,Kona Oahu,21.28619,-157.85757,7.5,23.062843,0.02259887,4,15.18816211,5.581116461,4.768337697,3.411294121,1.019742313,0.409926,0.157376,0.45652,0.261873,0.715752,7,10,76,7,1.071428571,1.75,0.78875,0.380827635,4,,NA,NA,NA
5,12/15/2015,MHI,Oahu,Kona Oahu,21.27423,-157.73483,5.8,25.405258,0.06779661,12,15.18816211,5.581116461,4.768337697,3.411294121,1.019742313,0.409926,0.157376,0.45652,0.261873,0.715752,5,10,77,8,1.5,2.25,0.8425,0.541762171,7,,NA,NA,NA
6,12/23/2015,MHI,Oahu,Kona Oahu,21.29098,-157.86511,5.5,1.283065,0.033898305,6,15.18816211,5.581116461,4.768337697,3.411294121,1.019742313,0.409926,0.157376,0.45652,0.261873,0.715752,10,5,68,17,1.295336788,2,0.865,0.604793353,6,,NA,NA,NA
7,3/17/2016,MHI,Hawaii,Kona Hawaii,19.479065,-155.92387,5.8,11.623955,0.02259887,4,32.88746375,17.67197449,5.311431831,4.760320411,3.235493238,1.946794,1.453976,0.084292,1.783596,2.955958,20,1,64,15,2.038043478,3.66,1.17826,0.815395769,8,,1.83,4.27,588
8,3/17/2016,MHI,Hawaii,Kona Hawaii,19.467852,-155.922414,6.5,18.980676,0.033898305,6,32.88746375,17.67197449,5.311431831,4.760320411,3.235493238,1.946794,1.453976,0.084292,1.783596,2.955958,10,1,82,7,NA,2.16,0.486475275,0.466579388,5,,2.13,2.74,514
9,3/18/2016,MHI,Hawaii,Kona Hawaii,19.4249,-155.913333,5.3,7.634219,0.011299435,2,32.88746375,17.67197449,5.311431831,4.760320411,3.235493238,1.946794,1.453976,0.084292,1.783596,2.955958,50,1,46,3,3.073770492,3.51,1.72375,0.831603308,8,,1.83,2.44,462
10,3/18/2016,MHI,Hawaii,Kona Hawaii,19.421667,-155.914567,7.4,3.710264,0.028248588,5,32.88746375,17.67197449,5.311431831,4.760320411,3.235493238,1.946794,1.453976,0.084292,1.783596,2.955958,20,0,79,1,2.23880597,4.19,2.18185,1.048255576,7,,4.27,11.58,318
11,3/19/2016,MHI,Hawaii,Kona Hawaii,19.385321,-155.902195,5.9,7.088668,0.02259887,4,32.88746375,17.67197449,5.311431831,4.760320411,3.235493238,1.946794,1.453976,0.084292,1.783596,2.955958,5,2,91,2,1.756440281,2.14,0.6139,0.357421026,4,,3.66,6.1,439
12,3/19/2016,MHI,Hawaii,Kona Hawaii,19.378547,-155.898754,5.6,17.75907,0.06779661,12,32.88746375,17.67197449,5.311431831,4.760320411,3.235493238,1.946794,1.453976,0.084292,1.783596,2.955958,24,2,65,9,1.71624714,1.37,0.3442,0.328840174,3,,1.83,3.05,564
13,3/20/2016,MHI,Hawaii,Kona Hawaii,19.637384,-155.998125,4.7,11.752814,0.062146893,11,32.88746375,17.67197449,5.311431831,4.760320411,3.235493238,1.946794,1.453976,0.084292,1.783596,2.955958,15,1,82,2,2.23880597,2.64,1.323,0.7084356,8,,1.83,2.74,616
14,3/20/2016,MHI,Hawaii,Kona Hawaii,19.635257,-155.994434,7.2,18.344763,0.028248588,5,32.88746375,17.67197449,5.311431831,4.760320411,3.235493238,1.946794,1.453976,0.084292,1.783596,2.955958,18,10,69,3,1.515151515,1.91,1.00025,0.39699016,6,,3.05,5.79,475
15,3/20/2016,MHI,Hawaii,Kona Hawaii,19.627249,-155.989066,6,20.312369,0.033898305,6,32.88746375,17.67197449,5.311431831,4.760320411,3.235493238,1.946794,1.453976,0.084292,1.783596,2.955958,5,2,89,4,1.447876448,1.22,0.3725,0.267616797,4,,3.05,6.1,464
16,3/21/2016,MHI,Hawaii,Kona Hawaii,19.854806,-155.9329,5.6,12.850555,0.016949153,3,32.88746375,17.67197449,5.311431831,4.760320411,3.235493238,1.946794,1.453976,0.084292,1.783596,2.955958,15,0,78,7,1.506024096,2.06,0.63779,0.396071112,4,,2.13,3.05,501
17,3/21/2016,MHI,Hawaii,Kona Hawaii,19.850994,-155.938998,4.6,2.291351,0.016949153,3,32.88746375,17.67197449,5.311431831,4.760320411,3.235493238,1.946794,1.453976,0.084292,1.783596,2.955958,40,2,55,3,1.893939394,2.89,0.9384,0.607715756,7,,2.13,7.01,434
18,3/22/2016,MHI,Hawaii,Kona Hawaii,19.816616,-156.002221,5.2,1.543074,0.04519774,8,32.88746375,17.67197449,5.311431831,4.760320411,3.235493238,1.946794,1.453976,0.084292,1.783596,2.955958,40,1,58,1,1.736111111,2.37,1.0945,0.554337217,8,,2.44,3.05,551
19,3/22/2016,MHI,Hawaii,Kona Hawaii,19.819703,-155.999303,4.6,19.293118,0.039548023,7,32.88746375,17.67197449,5.311431831,4.760320411,3.235493238,1.946794,1.453976,0.084292,1.783596,2.955958,15,0,45,40,1.491053678,1.38,0.4045,0.400230871,4,,1.52,2.74,676
20,3/23/2016,MHI,Hawaii,Kohala,20.178328,-155.901864,6.4,9.149009,0.04519774,8,25.79719483,12.50201306,7.254235386,3.455757405,2.129081019,0.468124,0.67762,0.140802,1.187957,2.021417,8,1,78,13,1.953125,2.76,0.9613,0.71278381,7,,3.66,12.8,459
