SurveyNum,Species,CountPerSurvey,Region,Island,Moku
1,eurostus,0,MHI,Oahu,Waianae
1,flavimarginatus,1,MHI,Oahu,Waianae
1,meleagris,0,MHI,Oahu,Waianae
1,undulatus,0,MHI,Oahu,Waianae
2,eurostus,0,MHI,Oahu,Kona Oahu
2,flavimarginatus,2,MHI,Oahu,Kona Oahu
2,meleagris,0,MHI,Oahu,Kona Oahu
2,undulatus,0,MHI,Oahu,Kona Oahu
3,eurostus,2,MHI,Oahu,Kona Oahu
3,flavimarginatus,0,MHI,Oahu,Kona Oahu
3,meleagris,2,MHI,Oahu,Kona Oahu
3,undulatus,0,MHI,Oahu,Kona Oahu
4,eurostus,1,MHI,Oahu,Kona Oahu
4,flavimarginatus,2,MHI,Oahu,Kona Oahu
4,meleagris,0,MHI,Oahu,Kona Oahu
4,undulatus,1,MHI,Oahu,Kona Oahu
5,eurostus,9,MHI,Oahu,Kona Oahu
5,flavimarginatus,2,MHI,Oahu,Kona Oahu
5,meleagris,1,MHI,Oahu,Kona Oahu
5,undulatus,0,MHI,Oahu,Kona Oahu
6,eurostus,4,MHI,Oahu,Kona Oahu
6,flavimarginatus,0,MHI,Oahu,Kona Oahu
6,meleagris,1,MHI,Oahu,Kona Oahu
6,undulatus,1,MHI,Oahu,Kona Oahu
7,eurostus,0,MHI,Hawaii,Kona Hawaii
7,flavimarginatus,1,MHI,Hawaii,Kona Hawaii
7,meleagris,2,MHI,Hawaii,Kona Hawaii
7,undulatus,0,MHI,Hawaii,Kona Hawaii
8,eurostus,0,MHI,Hawaii,Kona Hawaii
8,flavimarginatus,2,MHI,Hawaii,Kona Hawaii
8,meleagris,1,MHI,Hawaii,Kona Hawaii
8,undulatus,1,MHI,Hawaii,Kona Hawaii
9,eurostus,0,MHI,Hawaii,Kona Hawaii
9,flavimarginatus,0,MHI,Hawaii,Kona Hawaii
9,meleagris,1,MHI,Hawaii,Kona Hawaii
9,undulatus,0,MHI,Hawaii,Kona Hawaii
10,eurostus,0,MHI,Hawaii,Kona Hawaii
10,flavimarginatus,1,MHI,Hawaii,Kona Hawaii
10,meleagris,2,MHI,Hawaii,Kona Hawaii
10,undulatus,0,MHI,Hawaii,Kona Hawaii
11,eurostus,0,MHI,Hawaii,Kona Hawaii
11,flavimarginatus,1,MHI,Hawaii,Kona Hawaii
11,meleagris,1,MHI,Hawaii,Kona Hawaii
11,undulatus,1,MHI,Hawaii,Kona Hawaii
12,eurostus,3,MHI,Hawaii,Kona Hawaii
12,flavimarginatus,2,MHI,Hawaii,Kona Hawaii
12,meleagris,2,MHI,Hawaii,Kona Hawaii
12,undulatus,1,MHI,Hawaii,Kona Hawaii
13,eurostus,5,MHI,Hawaii,Kona Hawaii
13,flavimarginatus,1,MHI,Hawaii,Kona Hawaii
13,meleagris,3,MHI,Hawaii,Kona Hawaii
13,undulatus,0,MHI,Hawaii,Kona Hawaii
14,eurostus,1,MHI,Hawaii,Kona Hawaii
14,flavimarginatus,3,MHI,Hawaii,Kona Hawaii
14,meleagris,1,MHI,Hawaii,Kona Hawaii
14,undulatus,0,MHI,Hawaii,Kona Hawaii
15,eurostus,1,MHI,Hawaii,Kona Hawaii
15,flavimarginatus,3,MHI,Hawaii,Kona Hawaii
15,meleagris,1,MHI,Hawaii,Kona Hawaii
15,undulatus,1,MHI,Hawaii,Kona Hawaii
16,eurostus,1,MHI,Hawaii,Kona Hawaii
16,flavimarginatus,1,MHI,Hawaii,Kona Hawaii
16,meleagris,1,MHI,Hawaii,Kona Hawaii
16,undulatus,0,MHI,Hawaii,Kona Hawaii
17,eurostus,2,MHI,Hawaii,Kona Hawaii
17,flavimarginatus,0,MHI,Hawaii,Kona Hawaii
17,meleagris,0,MHI,Hawaii,Kona Hawaii
17,undulatus,0,MHI,Hawaii,Kona Hawaii
18,eurostus,3,MHI,Hawaii,Kona Hawaii
18,flavimarginatus,1,MHI,Hawaii,Kona Hawaii
18,meleagris,1,MHI,Hawaii,Kona Hawaii
18,undulatus,0,MHI,Hawaii,Kona Hawaii
19,eurostus,5,MHI,Hawaii,Kona Hawaii
19,flavimarginatus,2,MHI,Hawaii,Kona Hawaii
19,meleagris,0,MHI,Hawaii,Kona Hawaii
19,undulatus,0,MHI,Hawaii,Kona Hawaii
20,eurostus,2,MHI,Hawaii,Kohala
20,flavimarginatus,1,MHI,Hawaii,Kohala
20,meleagris,2,MHI,Hawaii,Kohala
20,undulatus,0,MHI,Hawaii,Kohala
21,eurostus,3,MHI,Hawaii,Kohala
21,flavimarginatus,1,MHI,Hawaii,Kohala
21,meleagris,2,MHI,Hawaii,Kohala
